id ,cedula,nombre,apellido,telefono,correo,direccion
1,987456123,Carlos,Zu¤iga,987789865,carlosz@gmail.com,Av. Alianza S/N
2,968545782,Andres,Ponce,985478695,anp@gmail.com,Alborada 6ta etapa mz 662 v5
3,965321456,Alex,Andrade,965986235,alexa@gmail.com ,24 De Octubre
4,963256487,Axel ,Benavides,951235784,axelbe@gmail.com,Av. Las Aguas
5,957454521,Danny,Carbo,958463265,darc@gmail.com,3er Pasaje 26A NO
6,986532659,Pedro,Tovar,936587412,pedt@gmail.com,Kennedy Norte y y Nahim Mz 801 Solar 1
7,962314578,Juan,Peralta,921354784,juanpe@gmail.com,Alborada 3ra Etapa Mz. 108
8,923124685,Maria,Paez,932658999,maripa@gmail.com,Av. Francisco de Orellana 222
9,945781245,Paula,DrinkWater,968918012,paudri@gmail.com,Av. Francisco de Orellana
10,964587456,Andrea,Zamora,953600215,an@gmail.com ,Kennedy Norte y y Nahim Mz 801 Solar 3
11,958623547,Josefina,Portola,923564702,jesi@gmail.com ,3er Pasaje 26A NO
12,953687426,Alexa,Caicedo,901026325,caiale@gmail.com ,3er Pasaje 26A NO
13,951235789,Ricardo,Vera,906587420, virado@gmail.com,Ciudadela La Fae
14,963145786,William,Calle,906587432,llewi@gmail.com,Ciudadela La Fae
15,963143286,Diego,Cede¤o,903256420,cedieg@gmail.com, Av Pedro Men‚ndez Gilbert
